RD, 1, 256, 0.036229
CR, 1, 255, 0.000205
RD, 1, 512, 0.035843
CR, 1, 511, 0.000357
RD, 1, 1024, 0.037209
CR, 1, 1023, 0.000662
RD, 1, 2048, 0.039758
CR, 1, 2047, 0.001236
RD, 1, 4096, 0.045354
CR, 1, 4095, 0.002426
RD, 1, 8192, 0.055994
CR, 1, 8191, 0.004834
RD, 1, 16384, 0.080037
CR, 1, 16383, 0.009646
RD, 1, 32768, 0.130529
CR, 1, 32767, 0.019194
RD, 1, 65536, 0.236961
CR, 1, 65535, 0.038253
RD, 1, 131072, 0.462469
CR, 1, 131071, 0.076689
RD, 1, 262144, 0.938978
CR, 1, 262143, 0.153860
RD, 1, 524288, 1.958725
CR, 1, 524287, 0.325320
RD, 1, 1048576, 4.528445
CR, 1, 1048575, 0.741081
RD, 1, 2097152, 9.615138
CR, 1, 2097151, 1.554123
RD, 1, 4194304, 19.903635
CR, 1, 4194303, 3.126927
RD, 1, 8388608, 41.178951
CR, 1, 8388607, 6.240741
RD, 1, 16777216, 85.055600
CR, 1, 16777215, 12.481607
RD, 1, 33554432, 176.500933
CR, 1, 33554431, 24.990008
RD, 1, 67108864, 365.886980
CR, 1, 67108863, 49.956079
RD, 1, 134217728, 767.111460
CR, 1, 134217727, 99.788996
CR, 1, 268435455, 209.378233
RD, 2, 256, 0.045496
CR, 2, 255, 0.000324
RD, 2, 512, 0.044640
CR, 2, 511, 0.000379
RD, 2, 1024, 0.044980
CR, 2, 1023, 0.000564
RD, 2, 2048, 0.046388
CR, 2, 2047, 0.000843
RD, 2, 4096, 0.049537
CR, 2, 4095, 0.001499
RD, 2, 8192, 0.055520
CR, 2, 8191, 0.002669
RD, 2, 16384, 0.068072
CR, 2, 16383, 0.005130
RD, 2, 32768, 0.094662
CR, 2, 32767, 0.009978
RD, 2, 65536, 0.149924
CR, 2, 65535, 0.019584
RD, 2, 131072, 0.266112
CR, 2, 131071, 0.038808
RD, 2, 262144, 0.514056
CR, 2, 262143, 0.077568
RD, 2, 524288, 1.043642
CR, 2, 524287, 0.165544
RD, 2, 1048576, 2.194778
CR, 2, 1048575, 0.372049
RD, 2, 2097152, 4.700109
CR, 2, 2097151, 0.789133
RD, 2, 4194304, 10.415894
CR, 2, 4194303, 1.596098
RD, 2, 8388608, 21.873107
CR, 2, 8388607, 3.189012
RD, 2, 16777216, 45.172906
CR, 2, 16777215, 6.384281
RD, 2, 33554432, 93.405137
CR, 2, 33554431, 12.758110
RD, 2, 67108864, 193.070711
CR, 2, 67108863, 25.431956
RD, 2, 134217728, 398.167938
CR, 2, 134217727, 50.884693
RD, 2, 268435456, 834.387921
CR, 2, 268435455, 101.475155
CR, 2, 536870911, 218.767066
RD, 4, 256, 0.058227
CR, 4, 255, 0.000464
RD, 4, 512, 0.059174
CR, 4, 511, 0.000568
RD, 4, 1024, 0.059115
CR, 4, 1023, 0.000524
RD, 4, 2048, 0.059469
CR, 4, 2047, 0.000710
RD, 4, 4096, 0.061015
CR, 4, 4095, 0.001027
RD, 4, 8192, 0.064845
CR, 4, 8191, 0.001688
RD, 4, 16384, 0.071665
CR, 4, 16383, 0.003041
RD, 4, 32768, 0.086735
CR, 4, 32767, 0.005479
RD, 4, 65536, 0.117015
CR, 4, 65535, 0.010205
RD, 4, 131072, 0.179391
CR, 4, 131071, 0.019815
RD, 4, 262144, 0.311286
CR, 4, 262143, 0.038996
RD, 4, 524288, 0.587922
CR, 4, 524287, 0.077748
RD, 4, 1048576, 1.184684
CR, 4, 1048575, 0.161314
RD, 4, 2097152, 2.487219
CR, 4, 2097151, 0.367959
RD, 4, 4194304, 5.295072
CR, 4, 4194303, 0.788781
RD, 4, 8388608, 11.925676
CR, 4, 8388607, 1.591000
RD, 4, 16777216, 24.764737
CR, 4, 16777215, 3.184421
RD, 4, 33554432, 50.975973
CR, 4, 33554431, 6.361477
RD, 4, 67108864, 105.246448
CR, 4, 67108863, 12.744552
RD, 4, 134217728, 215.876758
CR, 4, 134217727, 25.444516
RD, 4, 268435456, 448.094407
CR, 4, 268435455, 51.276066
CR, 4, 536870911, 101.744421
RD, 8, 256, 0.088415
CR, 8, 255, 0.000596
RD, 8, 512, 0.085275
CR, 8, 511, 0.000618
RD, 8, 1024, 0.086517
CR, 8, 1023, 0.000840
RD, 8, 2048, 0.090316
CR, 8, 2047, 0.000840
RD, 8, 4096, 0.088730
CR, 8, 4095, 0.000916
RD, 8, 8192, 0.089196
CR, 8, 8191, 0.001325
RD, 8, 16384, 0.095423
CR, 8, 16383, 0.001809
RD, 8, 32768, 0.101634
CR, 8, 32767, 0.003030
RD, 8, 65536, 0.119868
CR, 8, 65535, 0.005468
RD, 8, 131072, 0.152977
CR, 8, 131071, 0.010324
RD, 8, 262144, 0.223884
CR, 8, 262143, 0.020004
RD, 8, 524288, 0.376968
CR, 8, 524287, 0.039360
RD, 8, 1048576, 0.711734
CR, 8, 1048575, 0.084227
RD, 8, 2097152, 1.463701
CR, 8, 2097151, 0.208699
RD, 8, 4194304, 3.029010
CR, 8, 4194303, 0.456399
RD, 8, 8388608, 6.225581
CR, 8, 8388607, 0.921827
RD, 8, 16777216, 13.774095
CR, 8, 16777215, 1.808812
RD, 8, 33554432, 28.882868
CR, 8, 33554431, 3.649103
RD, 8, 67108864, 59.244183
CR, 8, 67108863, 7.260994
RD, 8, 134217728, 121.728484
CR, 8, 134217727, 14.512974
CR, 8, 268435455, 29.572003
RD, 16, 256, 0.147072
CR, 16, 255, 0.000619
RD, 16, 512, 0.145089
CR, 16, 511, 0.000776
RD, 16, 1024, 0.149088
CR, 16, 1023, 0.000799
RD, 16, 2048, 0.147432
CR, 16, 2047, 0.000986
RD, 16, 4096, 0.150050
CR, 16, 4095, 0.000891
RD, 16, 8192, 0.163857
CR, 16, 8191, 0.001289
RD, 16, 16384, 0.150793
CR, 16, 16383, 0.001256
RD, 16, 32768, 0.156366
CR, 16, 32767, 0.001887
RD, 16, 65536, 0.166070
CR, 16, 65535, 0.003170
RD, 16, 131072, 0.185503
CR, 16, 131071, 0.005841
RD, 16, 262144, 0.225620
CR, 16, 262143, 0.010648
RD, 16, 524288, 0.318036
CR, 16, 524287, 0.021008
RD, 16, 1048576, 0.508512
CR, 16, 1048575, 0.041371
RD, 16, 2097152, 0.949806
CR, 16, 2097151, 0.109656
RD, 16, 4194304, 1.923122
CR, 16, 4194303, 0.273596
RD, 16, 8388608, 3.832522
CR, 16, 8388607, 0.555820
RD, 16, 16777216, 8.389693
CR, 16, 16777215, 1.107475
RD, 16, 33554432, 17.310727
CR, 16, 33554431, 2.208100
RD, 16, 67108864, 36.536951
CR, 16, 67108863, 4.391275
RD, 16, 134217728, 74.109214
CR, 16, 134217727, 8.769517
RD, 16, 268435456, 152.632534
CR, 16, 268435455, 17.596645
CR, 16, 536870911, 35.185406
RD, 32, 256, 0.269681
CR, 32, 255, 0.041698
RD, 32, 512, 0.297723
CR, 32, 511, 0.041674
RD, 32, 1024, 0.276789
CR, 32, 1023, 0.043211
RD, 32, 2048, 0.326169
CR, 32, 2047, 0.043302
RD, 32, 4096, 0.399373
CR, 32, 4095, 0.044284
RD, 32, 8192, 0.414163
CR, 32, 8191, 0.044431
RD, 32, 16384, 0.409591
CR, 32, 16383, 0.045215
RD, 32, 32768, 0.290314
CR, 32, 32767, 0.033919
RD, 32, 65536, 0.335941
CR, 32, 65535, 0.042055
RD, 32, 131072, 0.348277
CR, 32, 131071, 0.062076
RD, 32, 262144, 0.376015
CR, 32, 262143, 0.049457
RD, 32, 524288, 0.478499
CR, 32, 524287, 0.054895
RD, 32, 1048576, 0.534299
