RD, 1, 256, 0.036440
CR, 1, 255, 0.000209
RD, 1, 512, 0.036246
CR, 1, 511, 0.000358
RD, 1, 1024, 0.037040
CR, 1, 1023, 0.000661
RD, 1, 2048, 0.039609
CR, 1, 2047, 0.001244
RD, 1, 4096, 0.045497
CR, 1, 4095, 0.002432
RD, 1, 8192, 0.056303
CR, 1, 8191, 0.004824
RD, 1, 16384, 0.079916
CR, 1, 16383, 0.009622
RD, 1, 32768, 0.130694
CR, 1, 32767, 0.019141
RD, 1, 65536, 0.237851
CR, 1, 65535, 0.038150
RD, 1, 131072, 0.463855
CR, 1, 131071, 0.076484
RD, 1, 262144, 0.941346
CR, 1, 262143, 0.153621
RD, 1, 524288, 1.960306
CR, 1, 524287, 0.325957
RD, 1, 1048576, 4.512201
CR, 1, 1048575, 0.741419
RD, 2, 256, 0.045587
CR, 2, 255, 0.000302
RD, 2, 512, 0.043167
CR, 2, 511, 0.000396
RD, 2, 1024, 0.043874
CR, 2, 1023, 0.000556
RD, 2, 2048, 0.047199
CR, 2, 2047, 0.000850
RD, 2, 4096, 0.048316
CR, 2, 4095, 0.001493
RD, 2, 8192, 0.054358
CR, 2, 8191, 0.002680
RD, 2, 16384, 0.067041
CR, 2, 16383, 0.005188
RD, 2, 32768, 0.093691
CR, 2, 32767, 0.009962
RD, 2, 65536, 0.148206
CR, 2, 65535, 0.019594
RD, 2, 131072, 0.264716
CR, 2, 131071, 0.038735
RD, 2, 262144, 0.514057
CR, 2, 262143, 0.078598
RD, 2, 524288, 1.043873
CR, 2, 524287, 0.164467
RD, 2, 1048576, 2.230001
CR, 2, 1048575, 0.383316
RD, 4, 256, 0.058349
CR, 4, 255, 0.000440
RD, 4, 512, 0.057493
CR, 4, 511, 0.000589
RD, 4, 1024, 0.058795
CR, 4, 1023, 0.000579
RD, 4, 2048, 0.059739
CR, 4, 2047, 0.000748
RD, 4, 4096, 0.062061
CR, 4, 4095, 0.001002
RD, 4, 8192, 0.066963
CR, 4, 8191, 0.001618
RD, 4, 16384, 0.072591
CR, 4, 16383, 0.002888
RD, 4, 32768, 0.086759
CR, 4, 32767, 0.005422
RD, 4, 65536, 0.117219
CR, 4, 65535, 0.010149
